tax_id,ncbi_name,ncbi_rank,species_tax_id,species_name,mapping_source
24,Shewanella putrefaciens,species,24.0,Shewanella putrefaciens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
69,Lysobacter enzymogenes,species,69.0,Lysobacter enzymogenes,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
139,Borreliella burgdorferi,species,139.0,Borreliella burgdorferi,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
158,Treponema denticola,species,158.0,Treponema denticola,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
159,Brachyspira hyodysenteriae,species,159.0,Brachyspira hyodysenteriae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
173,Leptospira interrogans,species,173.0,Leptospira interrogans,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
176,Leptospira interrogans serovar Hardjo,no rank,173.0,Leptospira interrogans,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
195,Campylobacter coli,species,195.0,Campylobacter coli,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
197,Campylobacter jejuni,species,197.0,Campylobacter jejuni,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
199,Campylobacter concisus,species,199.0,Campylobacter concisus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
210,Helicobacter pylori,species,210.0,Helicobacter pylori,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
228,Pseudoalteromonas haloplanktis,species,228.0,Pseudoalteromonas haloplanktis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
235,Brucella abortus,species,235.0,Brucella abortus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
238,Elizabethkingia meningoseptica,species,238.0,Elizabethkingia meningoseptica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
253,Chryseobacterium indologenes,species,253.0,Chryseobacterium indologenes,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
263,Francisella tularensis,species,263.0,Francisella tularensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
264,Francisella tularensis subsp. novicida,subspecies,263.0,Francisella tularensis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
271,Thermus aquaticus,species,271.0,Thermus aquaticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
274,Thermus thermophilus,species,274.0,Thermus thermophilus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
286,Pseudomonas,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
287,Pseudomonas aeruginosa,species,287.0,Pseudomonas aeruginosa,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
292,Burkholderia cepacia,species,292.0,Burkholderia cepacia,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
293,Brevundimonas diminuta,species,293.0,Brevundimonas diminuta,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
294,Pseudomonas fluorescens,species,294.0,Pseudomonas fluorescens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
301,Ectopseudomonas oleovorans,species,301.0,Ectopseudomonas oleovorans,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
303,Pseudomonas putida,species,303.0,Pseudomonas putida,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
305,Ralstonia solanacearum,species,305.0,Ralstonia solanacearum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
317,Pseudomonas syringae,species,317.0,Pseudomonas syringae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
321,Pseudomonas syringae pv. syringae,no rank,317.0,Pseudomonas syringae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
329,Ralstonia pickettii,species,329.0,Ralstonia pickettii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
339,Xanthomonas campestris,species,339.0,Xanthomonas campestris,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
346,Xanthomonas citri,species,346.0,Xanthomonas citri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
347,Xanthomonas oryzae,species,347.0,Xanthomonas oryzae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
353,Azotobacter chroococcum,species,353.0,Azotobacter chroococcum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
358,Agrobacterium tumefaciens,species,358.0,Agrobacterium tumefaciens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
382,Sinorhizobium meliloti,species,382.0,Sinorhizobium meliloti,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
446,Legionella pneumophila,species,446.0,Legionella pneumophila,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
464,Fluoribacter gormanii,species,464.0,Fluoribacter gormanii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
469,Acinetobacter,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
470,Acinetobacter baumannii,species,470.0,Acinetobacter baumannii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
471,Acinetobacter calcoaceticus,species,471.0,Acinetobacter calcoaceticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
475,Moraxella,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
476,Moraxella bovis,species,476.0,Moraxella bovis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
480,Moraxella catarrhalis,species,480.0,Moraxella catarrhalis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
485,Neisseria gonorrhoeae,species,485.0,Neisseria gonorrhoeae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
487,Neisseria meningitidis,species,487.0,Neisseria meningitidis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
490,Neisseria sicca,species,490.0,Neisseria sicca,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
511,Alcaligenes faecalis,species,511.0,Alcaligenes faecalis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
518,Bordetella bronchiseptica,species,518.0,Bordetella bronchiseptica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
520,Bordetella pertussis,species,520.0,Bordetella pertussis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
529,Brucella anthropi,species,529.0,Brucella anthropi,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
531,Polaribacter irgensii,species,531.0,Polaribacter irgensii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
536,Chromobacterium violaceum,species,536.0,Chromobacterium violaceum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
539,Eikenella corrodens,species,539.0,Eikenella corrodens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
542,Zymomonas mobilis,species,542.0,Zymomonas mobilis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
543,Enterobacteriaceae,family,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
544,Citrobacter,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
545,Citrobacter koseri,species,545.0,Citrobacter koseri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
546,Citrobacter freundii,species,546.0,Citrobacter freundii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
547,Enterobacter,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
548,Klebsiella aerogenes,species,548.0,Klebsiella aerogenes,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
549,Pantoea agglomerans,species,549.0,Pantoea agglomerans,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
550,Enterobacter cloacae,species,550.0,Enterobacter cloacae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
552,Erwinia amylovora,species,552.0,Erwinia amylovora,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
554,Pectobacterium carotovorum,species,554.0,Pectobacterium carotovorum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
555,Pectobacterium carotovorum subsp. carotovorum,subspecies,554.0,Pectobacterium carotovorum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
561,Escherichia,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
562,Escherichia coli,species,562.0,Escherichia coli,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
564,Escherichia fergusonii,species,564.0,Escherichia fergusonii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
565,Atlantibacter hermannii,species,565.0,Atlantibacter hermannii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
569,Hafnia alvei,species,569.0,Hafnia alvei,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
571,Klebsiella oxytoca,species,571.0,Klebsiella oxytoca,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
573,Klebsiella pneumoniae,species,573.0,Klebsiella pneumoniae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
574,Klebsiella pneumoniae subsp. ozaenae,subspecies,573.0,Klebsiella pneumoniae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
575,Klebsiella planticola,species,575.0,Klebsiella planticola,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
582,Morganella morganii,species,582.0,Morganella morganii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
584,Proteus mirabilis,species,584.0,Proteus mirabilis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
585,Proteus vulgaris,species,585.0,Proteus vulgaris,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
587,Providencia rettgeri,species,587.0,Providencia rettgeri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
588,Providencia stuartii,species,588.0,Providencia stuartii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
590,Salmonella,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
594,Salmonella enterica subsp. enterica serovar Gallinarum,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
595,Salmonella enterica subsp. enterica serovar Infantis,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
601,Salmonella enterica subsp. enterica serovar Typhi,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
605,Salmonella enterica subsp. enterica serovar Pullorum,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
611,Salmonella enterica subsp. enterica serovar Heidelberg,no rank,28901.0,Salmonella enterica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
613,Serratia,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
614,Serratia liquefaciens,species,614.0,Serratia liquefaciens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
615,Serratia marcescens,species,615.0,Serratia marcescens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
620,Shigella,genus,,,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
621,Shigella boydii,species,621.0,Shigella boydii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
622,Shigella dysenteriae,species,622.0,Shigella dysenteriae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
